repo_id,owner_id,owner_name,type,search_location
10209170,1596824,kunny,User,korea
36235115,1618736,therne,User,korea
60832944,1618736,therne,User,korea
32624384,1639232,QuadFlask,User,korea
45903749,1639232,QuadFlask,User,korea
48284446,1680390,micmro,User,korea
24830227,1680390,micmro,User,korea
8822079,1680390,micmro,User,korea
10286962,1697772,midworld,User,korea
40874269,1744446,importre,User,korea
14624014,1744446,importre,User,korea
34537206,1744446,importre,User,korea
12022723,1747533,VCNC,Organization,korea
26543332,1778805,ekinlyw,User,korea
29851010,1792070,njovy,User,korea
101967638,1860205,Kofktu,User,korea
82022918,1860205,Kofktu,User,korea
34722008,1921602,wodory,User,korea
26475307,1920751,Wiznet,Organization,korea
40038957,1954350,angdev,User,korea
73777603,1964007,proin,User,korea
5059167,1967534,crosspop,Organization,korea
5335709,2086832,hardkernel,User,korea
90641944,2108446,tilltue,User,korea
29200197,2120719,cwdoh,User,korea
20257667,2144231,taehwandev,User,korea
18316426,2168702,honux77,User,korea
5490952,2186801,nforge,Organization,korea
39564222,2221139,brant-hwang,User,korea
39777432,2221139,brant-hwang,User,korea
5587304,2233956,akngs,User,korea
14486993,2233956,akngs,User,korea
33882331,2252863,mrz1277,User,korea
38489764,2252863,mrz1277,User,korea
9210662,2258984,teampopong,Organization,korea
49866239,2312761,martinkersner,User,korea
53563041,2312761,martinkersner,User,korea
13345474,2363195,hiun,User,korea
5887512,2367032,mysticfall,User,korea
82669006,2667858,Dalgona,User,korea
11810963,2687916,eu81273,User,korea
32058433,2687916,eu81273,User,korea
65962383,2919597,shakrmedia,Organization,korea
28847717,2919597,shakrmedia,Organization,korea
77548019,3094044,Superpencil,User,korea
7323572,3103540,davidshimjs,User,korea
15524861,3103540,davidshimjs,User,korea
13820070,3103540,davidshimjs,User,korea
13824226,3114160,ssomai,User,korea
9234481,3123741,TheFinestArtist,User,korea
50330123,3123741,TheFinestArtist,User,korea
9027555,3123741,TheFinestArtist,User,korea
40663012,3123741,TheFinestArtist,User,korea
