so-fancy/diff-so-fancy,'ascii' codec can't encode character u'\u2026' in position 28: ordinal not in range(128)
hehonghui/android-tech-frontier,'ascii' codec can't encode characters in position 0-13: ordinal not in range(128)
AHAAAAAAA/PokemonGo-Map,'ascii' codec can't encode characters in position 0-1: ordinal not in range(128)
justjavac/awesome-wechat-weapp,'ascii' codec can't encode characters in position 0-10: ordinal not in range(128)
Homebrew/brew,'ascii' codec can't encode characters in position 0-1: ordinal not in range(128)
localstack/localstack,'ascii' codec can't encode characters in position 0-1: ordinal not in range(128)
nodemailer/nodemailer,'ascii' codec can't encode characters in position 0-1: ordinal not in range(128)
paperjs/paper.js,'ascii' codec can't encode character u'\u2013' in position 50: ordinal not in range(128)
gothinkster/realworld,'ascii' codec can't encode character u'\u2122' in position 25: ordinal not in range(128)
hacksalot/HackMyResume,'ascii' codec can't encode character u'\xe9' in position 19: ordinal not in range(128)
OpenEmu/OpenEmu,'ascii' codec can't encode characters in position 0-1: ordinal not in range(128)
ruanyf/es6tutorial,'ascii' codec can't encode character u'\u300a' in position 0: ordinal not in range(128)
TeamStuQ/skill-map,'ascii' codec can't encode characters in position 5-8: ordinal not in range(128)
alibaba/druid,'ascii' codec can't encode characters in position 13-28: ordinal not in range(128)
nikitavoloboev/learn-anything,'ascii' codec can't encode characters in position 0-1: ordinal not in range(128)
atech/postal,'ascii' codec can't encode characters in position 0-1: ordinal not in range(128)
orhanobut/logger,'ascii' codec can't encode characters in position 0-1: ordinal not in range(128)
getlantern/forum,'ascii' codec can't encode characters in position 0-1: ordinal not in range(128)
guarinogabriel/Mac-CLI,'ascii' codec can't encode character u'\uf8ff' in position 0: ordinal not in range(128)
dcloudio/mui,'ascii' codec can't encode characters in position 0-4: ordinal not in range(128)
poteto/hiring-without-whiteboards,'ascii' codec can't encode characters in position 0-1: ordinal not in range(128)
kaminari/kaminari,'ascii' codec can't encode character u'\u26a1' in position 0: ordinal not in range(128)
