2015-10-16,1112
2015-10-17,902
2015-10-18,874
2015-10-19,1165
2015-10-20,1178
2015-10-21,1202
2015-10-22,1246
2015-10-23,1220
2015-10-24,875
2015-10-25,914
2015-10-26,1148
2015-10-27,1219
2015-10-28,1181
2015-10-29,1189
2015-10-30,1102
2015-10-31,822
2015-11-01,864
2015-11-02,1127
2015-11-03,1249
2015-11-04,1164
2015-11-05,1305
2015-11-06,1179
2015-11-07,898
2015-11-08,877
2015-11-09,1182
2015-11-10,1221
2015-11-11,1118
2015-11-12,1192
2015-11-13,1053
2015-11-14,786
2015-11-15,845
2015-11-16,1216
2015-11-17,1204
2015-11-18,1225
2015-11-19,1274
2015-11-20,1114
2015-11-21,909
2015-11-22,847
2015-11-23,1167
2015-11-24,1141
2015-11-25,1123
2015-11-26,1039
2015-11-27,931
2015-11-28,803
2015-11-29,831
2015-11-30,1129
2016-01-01,676
2016-01-02,792
2016-01-03,852
2016-01-04,1197
2016-01-05,1279
2016-01-06,1247
2016-01-07,1277
2016-01-08,1146
2016-01-09,843
2016-01-10,913
2016-01-11,1240
2016-01-12,1236
2016-01-13,1184
2016-01-14,1191
2016-01-15,1183
2016-01-16,922
2016-01-17,924
2016-01-18,1233
2016-01-19,1282
2016-01-20,1218
2016-01-21,1252
2016-01-22,1324
2016-01-23,1049
2016-01-24,990
2016-01-25,1269
2016-01-26,1359
2016-01-27,1333
2016-01-28,1244
2016-01-29,1304
2016-01-30,1045
2016-01-31,901
2016-02-01,1339
2016-02-02,1330
2016-02-03,1260
2016-02-04,1142
2016-02-05,1169
2016-02-06,897
2016-02-07,865
2016-02-08,1082
2016-02-09,1103
2016-02-10,1145
2016-02-11,1125
2016-02-12,1109
2016-02-13,865
2016-02-14,937
2016-02-15,1292
2016-02-16,1327
2016-02-17,1358
2016-02-18,1339
2016-02-19,1264
2016-02-20,1017
2016-02-21,1081
2016-02-22,1333
2016-02-23,1268
2016-02-24,1369
2016-02-25,1238
2016-02-26,1198
2016-02-27,1006
2016-02-28,991
2016-03-01,1321
2016-03-02,1418
2016-03-03,1309
2016-03-04,1259
2016-03-05,939
2016-03-06,984
2016-03-07,1309
2016-03-08,1362
2016-03-09,1347
2016-03-10,1304
2016-03-11,1270
2016-03-12,931
2016-03-13,922
2016-03-14,1300
2016-03-15,1328
2016-03-16,1271
2016-03-17,1294
2016-03-18,1173
2016-03-19,967
2016-03-20,957
2016-03-21,1229
2016-03-22,1202
2016-03-23,1260
2016-03-24,1279
2016-03-25,1201
2016-03-26,846
2016-03-27,832
2016-03-28,1268
2016-03-29,1304
2016-03-30,1279
2016-03-31,1319
2016-04-01,1227
2016-04-02,929
2016-04-03,927
2016-04-04,1233
2016-04-05,1165
2016-04-06,1246
2016-04-07,1209
2016-04-08,1204
2016-04-09,967
2016-04-10,948
2016-04-11,1322
2016-04-12,1382
2016-04-13,1317
2016-04-14,1246
2016-04-15,1236
2016-04-16,933
2016-04-17,955
2016-04-18,1229
2016-04-19,1299
2016-04-20,1259
2016-04-21,1242
2016-04-22,1194
2016-04-23,899
2016-04-24,930
2016-04-25,1223
2016-04-26,1238
2016-04-27,1249
2016-04-28,1202
2016-04-29,1134
2016-04-30,805
2016-05-01,758
2016-05-02,1069
2016-05-03,1159
2016-05-04,1161
2016-05-05,1130
2016-05-06,1160
2016-05-07,815
2016-05-08,788
2016-05-09,1183
2016-05-10,1169
2016-05-11,1243
2016-05-12,1240
2016-05-13,1187
2016-05-14,860
2016-05-15,933
2016-05-16,1133
2016-05-17,1282
2016-05-18,1251
2016-05-19,1229
2016-05-20,1126
2016-05-21,846
2016-05-22,852
2016-05-23,1190
2016-05-24,1217
2016-05-25,1199
2016-05-26,1138
2016-05-27,1124
2016-05-28,791
2016-05-29,793
2016-05-30,1051
2016-05-31,1208
2016-06-01,1282
2016-06-02,1227
2016-06-03,1226
2016-06-04,836
2016-06-05,789
2016-06-06,1124
2016-06-07,1133
2016-06-08,1245
2016-06-09,1056
2016-06-10,1004
2016-06-11,776
2016-06-12,879
2016-06-13,1039
2016-06-14,1173
2016-06-15,1118
2016-06-16,1185
2016-06-17,1042
2016-06-18,764
2016-06-19,785
2016-06-20,1127
2016-06-21,1418
2016-06-22,1175
2016-06-23,1223
2016-06-24,1112
2016-06-25,792
2016-06-26,735
2016-06-27,1125
2016-06-28,1130
2016-06-29,1091
2016-06-30,1128
2016-07-01,1066
2016-07-02,747
2016-07-03,723
2016-07-04,996
2016-07-05,1075
2016-07-06,1156
2016-07-07,1166
2016-07-08,1090
2016-07-09,777
2016-07-10,778
2016-07-11,1153
2016-07-12,1152
2016-07-13,1226
2016-07-14,1153
2016-07-15,1082
2016-07-16,777
2016-07-17,879
2016-07-18,1224
2016-07-19,1134
2016-07-20,1182
2016-07-21,1161
2016-07-22,1153
2016-07-23,807
2016-07-24,794
2016-07-25,1121
2016-07-26,1163
2016-07-27,1116
2016-07-28,1180
2016-07-29,1091
2016-07-30,779
2016-07-31,799
2016-08-01,1121
2016-08-02,1187
2016-08-03,1145
2016-08-04,1122
2016-08-05,1103
2016-08-06,765
2016-08-07,806
2016-08-08,1121
2016-08-09,1065
2016-08-10,1170
2016-08-11,1189
2016-08-12,1079
2016-08-13,759
2016-08-14,819
2016-08-15,1023
2016-08-16,1103
2016-08-17,1413
2016-08-18,1115
2016-08-19,1075
2016-08-20,814
2016-08-21,762
2016-08-22,1201
2016-08-23,1232
2016-08-24,1116
2016-08-25,1089
2016-08-26,1091
2016-08-27,787
2016-08-28,826
2016-08-29,1189
2016-08-30,1206
2016-08-31,1200
2016-09-01,1231
2016-09-02,1080
2016-09-03,821
2016-09-04,833
2016-09-05,1063
2016-09-06,1168
2016-09-07,1138
2016-09-08,1124
2016-09-09,1141
2016-09-10,807
2016-09-11,842
2016-09-12,1132
2016-09-13,1147
2016-09-14,1187
2016-09-15,1060
2016-09-16,1007
2016-09-17,819
2016-09-18,915
2016-09-19,1167
2016-09-20,1193
2016-09-21,1181
2016-09-22,1211
2016-09-23,1128
2016-09-24,783
2016-09-25,841
2016-09-26,1167
2016-09-27,1232
2016-09-28,1204
2016-09-29,1140
2016-09-30,1148
2016-10-01,779
2016-10-02,805
2016-10-03,1081
2016-10-04,1041
2016-10-05,1066
2016-10-06,1118
2016-10-07,1147
2016-10-08,952
2016-10-09,969
2016-10-10,1135
2016-10-11,1178
2016-10-12,1254
2016-10-13,1203
2016-10-14,1191
2016-10-15,826
2016-10-16,914
2016-10-17,1139
2016-10-18,1289
2016-10-19,1264
2016-10-20,1172
2016-10-21,1104
2016-10-22,890
2016-10-23,884
2016-10-24,1144
2016-10-25,1149
2016-10-26,1146
2016-10-27,1120
2016-10-28,1053
2016-10-29,762
2016-10-30,773
2016-10-31,1073
2016-11-01,1071
2016-11-02,1058
2016-11-03,1112
2016-11-04,1103
2016-11-05,803
2016-11-06,889
2016-11-07,1124
2016-11-08,1077
2016-11-09,1029
2016-11-10,1127
2016-11-11,1042
2016-11-12,810
2016-11-13,766
2016-11-14,1119
2016-11-15,1178
2016-11-16,1110
2016-11-17,1099
2016-11-18,1035
2016-11-19,819
2016-11-20,774
2016-11-21,1090
2016-11-22,1089
2016-11-23,1113
2016-11-24,947
2016-11-25,925
2016-11-26,744
2016-11-27,743
2016-11-28,1021
2016-11-29,1153
2016-11-30,1147
2017-01-01,577
2017-01-02,776
2017-01-03,1014
2017-01-04,1106
2017-01-05,1012
2017-01-06,1023
2017-01-07,811
2017-01-08,788
2017-01-09,1066
2017-01-10,1094
2017-01-11,1090
2017-01-12,1062
2017-01-13,1065
2017-01-14,812
2017-01-15,780
2017-01-16,1054
2017-01-17,1110
2017-01-18,1074
2017-01-19,1086
2017-01-20,1045
2017-01-21,856
2017-01-22,845
2017-01-23,987
2017-01-24,995
2017-01-25,999
2017-01-26,903
2017-01-27,902
2017-01-28,749
2017-01-29,688
2017-01-30,942
2017-01-31,879
2017-02-01,971
2017-02-02,923
2017-02-03,1041
2017-02-04,858
2017-02-05,846
2017-02-06,1037
2017-02-07,1181
2017-02-08,1180
2017-02-09,1098
2017-02-10,1087
2017-02-11,819
2017-02-12,854
2017-02-13,1141
2017-02-14,1075
2017-02-15,1065
2017-02-16,1084
2017-02-17,1145
2017-02-18,826
2017-02-19,887
2017-02-20,1009
2017-02-21,1137
2017-02-22,1131
2017-02-23,1038
2017-02-24,1080
2017-02-25,851
2017-02-26,817
2017-02-27,1106
2017-02-28,1113
2017-03-01,1095
2017-03-02,1154
